dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 2,Cell4,1.0,42,very_narrow_38_39,0.0045,0.0034,0.013938012558712458,0.007547053414723501,0.9484413298501789,47,0,2.3875930638457654,2.3007589998087496,3.0061350000323728
Dataset 2,Cell4,0.8,42,very_narrow_38_39,0.0045,0.0034,0.01590498936575798,0.008220714971773629,0.9328622519070111,36,11,1.7115739999408492,1.8802889999278705,2.2023086999524812
Dataset 2,Cell4,0.8,43,very_narrow_38_39,0.0045,0.0034,0.013936460334914205,0.007535033359944958,0.9484528129993185,39,8,1.638145765926001,1.7733300001054886,1.9082809998053563
Dataset 2,Cell4,0.8,44,very_narrow_38_39,0.0045,0.0034,0.015247471453856505,0.008220573726982074,0.9382985085429489,34,13,1.5531863191523718,1.7852000000857515,1.878894300034517
Dataset 2,Cell4,0.8,45,very_narrow_38_39,0.0045,0.0034,0.014168018479710503,0.007594523558883672,0.9467256409493077,39,8,1.6297846809043512,1.77590000021155,1.8887200000790472
Dataset 2,Cell4,0.8,46,very_narrow_38_39,0.0045,0.0034,0.014288777041629935,0.00788048140328244,0.9458136218573958,40,7,1.6407694680562233,1.767049000136467,1.881092999838074
Dataset 2,Cell4,0.8,47,very_narrow_38_39,0.0045,0.0034,0.014019490360443847,0.007683998511392208,0.9478367722486363,35,12,1.5384940000021357,1.7502199998489232,1.8119256998033961
Dataset 2,Cell4,0.8,48,very_narrow_38_39,0.0045,0.0034,0.01384252831091986,0.007234102834260063,0.9491453294822471,40,7,1.660633382945231,1.77577000022211,1.9174650000877589
Dataset 2,Cell4,0.8,49,very_narrow_38_39,0.0045,0.0034,0.014814082068247626,0.007976302202606027,0.9417562275317543,38,9,1.6732355319270047,1.7751199998201628,2.0646393003062258
Dataset 2,Cell4,0.8,50,very_narrow_38_39,0.0045,0.0034,0.01599074378688512,0.00827161944528587,0.932136331320214,39,8,1.6561319361766862,1.786880000054225,1.9183543001418
Dataset 2,Cell4,0.8,51,very_narrow_38_39,0.0045,0.0034,0.015701492657634306,0.008043971106037153,0.9345692520262969,38,9,1.6162659786904772,1.7788599998311838,1.883334699914485
Dataset 2,Cell4,0.6,42,very_narrow_38_39,0.0045,0.0034,0.015535430487348026,0.00805476078759443,0.9359459509174378,24,23,1.4544292128235572,1.795390000097541,2.128312999820991
Dataset 2,Cell4,0.6,43,very_narrow_38_39,0.0045,0.0034,0.013950631415239289,0.007595537394677157,0.9483479297365071,36,11,1.6347264255234628,1.77795999979935,2.1506249998310514
Dataset 2,Cell4,0.6,44,very_narrow_38_39,0.0045,0.0034,0.014551113023835294,0.00847615671496865,0.9438056784538634,25,22,1.3977984893806044,1.7522190000818227,1.929311000094458
Dataset 2,Cell4,0.6,45,very_narrow_38_39,0.0045,0.0034,0.015152246726132107,0.008264727454464212,0.9390667881421764,26,21,1.388399936138043,1.706819999981235,1.8951609997202465
Dataset 2,Cell4,0.6,46,very_narrow_38_39,0.0045,0.0034,0.013840967785762296,0.007675328122786293,0.9491567949483312,27,20,1.418165914885244,1.7599400002836774,1.8692810000175086
Dataset 2,Cell4,0.6,47,very_narrow_38_39,0.0045,0.0034,0.014348670686480495,0.008115848317671934,0.9453584084376656,21,26,1.3187612128100963,0.9995099999287049,1.9139832998916972
Dataset 2,Cell4,0.6,48,very_narrow_38_39,0.0045,0.0034,0.013958940258218007,0.00772080529174659,0.9482863846017067,30,17,1.5065419574192616,1.8064300002151867,1.9206200001463003
Dataset 2,Cell4,0.6,49,very_narrow_38_39,0.0045,0.0034,0.014722234312558237,0.008139640861246229,0.9424762149118036,28,19,1.4364087021428358,1.7390699999850767,1.8933359998300148
Dataset 2,Cell4,0.6,50,very_narrow_38_39,0.0045,0.0034,0.01620280248411918,0.00845793533499333,0.9303244701740201,31,16,1.5019418936274034,1.7651699999987613,1.9329240001752621
Dataset 2,Cell4,0.6,51,very_narrow_38_39,0.0045,0.0034,0.01619594857135214,0.008577625344205506,0.9303834042997913,29,18,1.6047710850932375,1.8292790000487003,2.229565999914484
