dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,XGBoost,0.008481338110454728,0.009582809618084276,0.022522416330045782,669.201171875,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,LightGBM,0.008587396157693787,0.009752109178177667,0.022131420782590887,891.9990234375,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,LightGBM,0.008682332867193035,0.009859974580815629,0.021889309388389615,892.52734375,17
Dataset 2,Cell4,MAW-GME-full-40experts,medium_37_40,HistGB,0.008738749007339449,0.009904028589885917,0.02179194387172824,898.8310546875,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,ExtraTrees,0.00824708428331432,0.00993687582017493,0.02171990872794641,32798.404296875,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,CatBoost,0.009010373082160409,0.009950376636581123,0.021690438868049985,180.91015625,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,SVR-RBF,0.009342161225213958,0.00998461240680369,0.021616065611770693,34.763671875,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,RandomForest,0.008493812088223413,0.010016973630278588,0.021546231981635158,9115.0185546875,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,HistGB,0.008857366019342918,0.010038488509571546,0.02150005330462874,906.5068359375,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,HistGB,0.008866902041412867,0.01004963132836827,0.021476214523694626,897.9521484375,17
Dataset 2,Cell4,MAW-GME-full-40experts,full_36_42,LightGBM,0.00889599447273163,0.010102040085256796,0.021364797366151447,889.9189453125,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,LightGBM,0.009078600958270188,0.010309697219966194,0.020934469665272615,891.21875,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,HistGB,0.009116770841602081,0.010332633713220758,0.02088799914566581,898.3525390625,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,RandomForest,0.008960752562088822,0.0105679072266425,0.02042296967562401,9140.005859375,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,CatBoost,0.010163811880853394,0.011235693500042951,0.019209144585686094,194.818359375,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,KNN,0.010412296473347538,0.01126534112791428,0.01915859085114765,68.6103515625,17
Dataset 2,Cell4,MAW-GME-full-40experts,very_narrow_38_39,KNN,0.010544324455634463,0.011408329546855988,0.018918463302024024,68.6513671875,17
Dataset 2,Cell4,MAW-GME-full-40experts,narrow_375_395,SVR-RBF,0.01078766747500515,0.01147533065343211,0.01880800401247115,25.90625,17
