scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,LightGBM,19,0.09239837731617025,0.033427317421255945
only_narrow_window,Only narrow partial-window features are available.,False,Cell01,narrow_36_385,CatBoost,19,0.020840759108737058,0.1482013550418793
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,Ridge,19,0.005369795688458643,0.34796408079217733
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,ExtraTrees,19,0.006682505247717487,0.2796102112981082
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,RandomForest,19,0.01386316119925242,0.1347815354482441
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,HistGB,19,0.10040597085946533,0.018609444222574635
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,XGBoost,19,0.017781757743718672,0.10507951331650674
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,LightGBM,19,0.1004059706428207,0.01860944426272798
only_narrow_window,Only narrow partial-window features are available.,False,Cell03,narrow_36_385,CatBoost,19,0.019597078444402727,0.09534577065966104
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,Ridge,19,0.011876236306332666,0.22491135507781568
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,ExtraTrees,19,0.014983447129409118,0.17827011663098874
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,RandomForest,19,0.017240375994417363,0.15493287974295453
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,HistGB,19,0.0913015101498513,0.029255839832799693
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,XGBoost,19,0.011697484123780763,0.22834827884759412
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,LightGBM,19,0.09130151081106722,0.029255839620925598
only_narrow_window,Only narrow partial-window features are available.,False,Cell10,narrow_36_385,CatBoost,19,0.01723005455085417,0.15502569024692162
only_narrow_window,Only narrow partial-window features are available.,False,Cell11,narrow_36_385,Ridge,19,0.01427237271673526,0.18269632684960568
only_narrow_window,Only narrow partial-window features are available.,False,Cell11,narrow_36_385,ExtraTrees,19,0.013362252172027462,0.19514000430240694
only_narrow_window,Only narrow partial-window features are available.,False,Cell11,narrow_36_385,RandomForest,19,0.016977971055771243,0.15358197710162771
only_narrow_window,Only narrow partial-window features are available.,False,Cell11,narrow_36_385,HistGB,19,0.08694749850375766,0.02998949530137069
only_narrow_window,Only narrow partial-window features are available.,False,Cell11,narrow_36_385,XGBoost,19,0.00908087865069009,0.2871428114627498
