experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell01,ExtraTrees,False,47,11,19,,0.0118651163929501,0.010065158494461506,0.9809607875197018
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell03,ExtraTrees,False,48,10,19,,0.014409979612551978,0.012501633737680406,0.9277345216456797
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell10,ExtraTrees,False,46,12,19,,0.008970492915876191,0.006073619634071843,0.9865471459679642
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell11,ExtraTrees,False,43,15,19,,0.0072244920090825705,0.005074246755336335,0.9918586964441338
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell12,ExtraTrees,False,48,10,19,,0.019098878577095444,0.01606212046737705,0.9489852950371775
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell01,RandomForest,False,47,11,19,,0.014049237084580378,0.01224932041172657,0.9733061965884662
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell03,RandomForest,False,48,10,19,,0.013859400568915431,0.011186703877809867,0.9331512881173774
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell10,RandomForest,False,46,12,19,,0.009142624586950867,0.00651984472586839,0.9860259082865532
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell11,RandomForest,False,43,15,19,,0.009215106024354255,0.007125180205586316,0.9867541451784901
StructuredWindowAblation,only_very_narrow_window,Only very-narrow partial-window features are available.,Cell12,RandomForest,False,48,10,19,,0.022351058419253382,0.01820975233354808,0.9301323990124987
