dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,XGBoost,0.014929530081367633,0.016664870899915453,0.03719602241078101,341.931640625,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,ExtraTrees,0.014603968425771885,0.016705174220985986,0.037106282410674624,1743.2880859375,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,RandomForest,0.015493877790696177,0.017596463251866857,0.035226790877569074,1147.939453125,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,XGBoost,0.01593042935045451,0.017781831209287936,0.03485956691045459,339.6962890625,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,XGBoost,0.016178950219767584,0.01806499818742013,0.034313147107118754,348.2939453125,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,ExtraTrees,0.016378756685376836,0.01873557104996953,0.03308503119134699,1745.3388671875,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,CatBoost,0.017651902639959943,0.019296094722098072,0.032123959335501225,105.384765625,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,XGBoost,0.01729016405839458,0.019304970373502994,0.032109190034559636,348.5927734375,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,RandomForest,0.01763490343072187,0.020028180903446696,0.03094973911595666,1147.177734375,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,CatBoost,0.018516324161409435,0.020238939959547505,0.030627442859694206,104.5078125,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,CatBoost,0.019297599924194532,0.021094766033589212,0.029384871516968794,105.4296875,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,CatBoost,0.0206885576555061,0.022612164339113026,0.027412988867419382,105.31640625,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,SVR,0.023930626184570855,0.024912723751400512,0.024881544097560337,8.4677734375,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,Ridge,0.024947243278221346,0.02555617458566074,0.024255079288089485,2.388671875,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,SVR,0.027614138547309423,0.028735851379779114,0.021571209410915396,7.9462890625,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,ElasticNet,0.028792212791733298,0.02950893074364669,0.021006083844595805,2.4716796875,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,SVR,0.029796972297196994,0.031006360509618608,0.019991610538033146,8.134765625,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,SVR,0.03178358705069689,0.0331251592289079,0.018712878993695874,9.177734375,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,LightGBM,0.08568438580709895,0.08895624941070358,0.0069682255923596845,104.095703125,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,LightGBM,0.08568438580709895,0.08896317941091182,0.006967682785777255,104.6806640625,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,LightGBM,0.08568438580709895,0.08896663393015594,0.006967412235004436,104.5439453125,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,LightGBM,0.08568438580709895,0.08898380283576918,0.0069660679136136225,104.5439453125,19
Dataset 1,Cell11,MAW-GME-full-36experts,full_32_42,HistGB,0.08568438614791636,0.09257527458391596,0.00669581828683838,83.71484375,19
Dataset 1,Cell11,MAW-GME-full-36experts,medium_35_40,HistGB,0.08568438614791636,0.09257591222121257,0.0066957721678976385,83.734375,19
Dataset 1,Cell11,MAW-GME-full-36experts,narrow_36_385,HistGB,0.08568438614791636,0.09257633218205928,0.006695741793375566,83.748046875,19
Dataset 1,Cell11,MAW-GME-full-36experts,very_narrow_365_38,HistGB,0.08568438614791636,0.0925782881430962,0.0066956003281474965,83.80859375,19
Dataset 1,Cell11,Fast-MAW-GME-K3-latency-aware,narrow_36_385,ElasticNet,0.010552689197267125,0.010811177639448387,0.3861203605597877,2.4033203125,19
Dataset 1,Cell11,Fast-MAW-GME-K3-latency-aware,narrow_36_385,Ridge,0.012062947974341317,0.012352472937085674,0.3379417474757673,2.3203125,19
Dataset 1,Cell11,Fast-MAW-GME-K3-latency-aware,full_32_42,ExtraTrees,0.013225464378455724,0.015128103213103802,0.27593789196444507,1742.4169921875,19
Dataset 1,Cell11,Fast-MAW-GME-K5-latency-aware,narrow_36_385,ElasticNet,0.010552689197267125,0.010811177639448387,0.2517143481371789,2.4033203125,19
Dataset 1,Cell11,Fast-MAW-GME-K5-latency-aware,narrow_36_385,Ridge,0.012062947974341317,0.012352472937085674,0.22030640018795453,2.3203125,19
Dataset 1,Cell11,Fast-MAW-GME-K5-latency-aware,full_32_42,ExtraTrees,0.013225464378455724,0.015128103213103802,0.17988568772048122,1742.4169921875,19
Dataset 1,Cell11,Fast-MAW-GME-K5-latency-aware,full_32_42,Ridge,0.015228896683274748,0.015590622279814044,0.17454911387884617,2.279296875,19
Dataset 1,Cell11,Fast-MAW-GME-K5-latency-aware,narrow_36_385,ExtraTrees,0.01370870360662115,0.015680877795996667,0.17354445007553923,1742.3173828125,19
Dataset 1,Cell12,MAW-GME-full-36experts,narrow_36_385,ElasticNet,0.006466363945336781,0.006624757726444259,0.07618751877123761,2.4033203125,19
Dataset 1,Cell12,MAW-GME-full-36experts,narrow_36_385,Ridge,0.00982021575761683,0.010055912504996762,0.05019177656378764,2.3203125,19
Dataset 1,Cell12,MAW-GME-full-36experts,full_32_42,ExtraTrees,0.009667166035989825,0.011079654198181717,0.04555414374348921,1954.5146484375,19
Dataset 1,Cell12,MAW-GME-full-36experts,full_32_42,Ridge,0.011396562646712835,0.011667260420006362,0.04325987119044473,2.279296875,19
