exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
True,narrow_33_345,MultiHI-DeepSequence,GRU,0.10634815080021884,0.012840482860922403,0.08806654023082865,0.01750764593372476,-3.2628833788740272,1.030100937303277
True,narrow_33_345,MultiHI-DeepSequence,LSTM,0.04083492294629594,0.02589086471851558,0.03064380399461338,0.014087044956377059,0.20146432539411122,0.9953628646017082
True,narrow_33_345,MultiHI-DeepSequence,TCN,0.053191410086961974,0.013746842683785586,0.04355385401090561,0.012020624224827683,-0.10445933175883129,0.5106290274445404
True,narrow_33_345,MultiHI-DeepSequence,TransformerEncoder,0.01860807035437448,0.00874376038465988,0.01368963798307784,0.004745968752102232,0.8501095987143291,0.12554349512479585
True,narrow_33_345,MultiHI-Tabular,CatBoost,0.005907581414425676,0.0023621853378977624,0.004632640102793686,0.001983302007207082,0.9861981325409175,0.010260965898538569
True,narrow_33_345,MultiHI-Tabular,ElasticNet,0.0061618629283873485,0.0023105389622965476,0.005139886044514678,0.002516934736352227,0.9850291598382803,0.012304153932674172
True,narrow_33_345,MultiHI-Tabular,ExtraTrees,0.0028158722673887987,0.001639444229724881,0.0018531954373303759,0.0009336662368736161,0.9964506944291435,0.0036651984446385002
True,narrow_33_345,MultiHI-Tabular,HistGB,0.004796524955611909,0.00128045413330909,0.0028261747191918466,0.0008126780960493758,0.9914371592506261,0.004835900734771324
True,narrow_33_345,MultiHI-Tabular,KNN,0.010140746711868043,0.0029203696464307647,0.007490103686085325,0.0021524945313178036,0.9616987064593717,0.019163744376143207
True,narrow_33_345,MultiHI-Tabular,LightGBM,0.005236489760794846,0.0012622559474699843,0.0032218971133126167,0.0008696739403223738,0.9898667348858854,0.005302765228556347
True,narrow_33_345,MultiHI-Tabular,RandomForest,0.0027059876579969347,0.0014069753469393982,0.0016802497341917469,0.0007654296708332933,0.9968545413457243,0.003096319292349814
True,narrow_33_345,MultiHI-Tabular,Ridge,0.006216254840158524,0.002615761232856157,0.0052339914591665185,0.0028396605362579347,0.9843555233455945,0.0139453064851049
True,narrow_33_345,MultiHI-Tabular,SVR-RBF,0.006721440584189707,0.004403647401400431,0.0038818499305838016,0.0019936954080263768,0.9786325407153376,0.020532715093810248
True,narrow_33_345,MultiHI-Tabular,XGBoost,0.003404584873916533,0.001584228609341277,0.002193630945617429,0.0009254282833117541,0.9952048882600014,0.004125220169258638
True,narrow_33_345,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.025913835287993382,0.0017871981149853954,0.01249085107493139,0.0008105134149664267,0.7633478312513928,0.03878078652939605
True,paper_335_350,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020280570972726585,0.03479757187619125,0.009587940207618838,0.014677023518390201,0.5233742088469273,1.0452876923085235
True,paper_335_350,MultiHI-DeepSequence,GRU,0.12029824115109448,0.04771336174626567,0.10056397510143053,0.03821684234647058,-4.951087904658761,4.4597017513135135
True,paper_335_350,MultiHI-DeepSequence,LSTM,0.062375514130324675,0.03306909036976026,0.04850398757496136,0.021325927007916915,-0.7338267665173579,1.8133134796492798
True,paper_335_350,MultiHI-DeepSequence,TCN,0.06079371304690566,0.009884708899049879,0.04950024876550272,0.010259147778185368,-0.41306758562790497,0.43867246612409305
True,paper_335_350,MultiHI-DeepSequence,TransformerEncoder,0.01864832240851471,0.0027538960237849844,0.013869960105289814,0.002453896495832337,0.8672749363064414,0.04220271460396388
True,paper_335_350,MultiHI-Tabular,CatBoost,0.005539329616709829,0.001906709632578398,0.004139125848552276,0.0014314641837671076,0.9880695108239819,0.00847109323286282
True,paper_335_350,MultiHI-Tabular,ElasticNet,0.005869215452934085,0.0024506080469227365,0.004749350660102426,0.002686014028974877,0.9859656999522735,0.013182194290607394
True,paper_335_350,MultiHI-Tabular,ExtraTrees,0.002290542646652921,0.0011348872320235716,0.0014814560522184318,0.0005740256365828838,0.9977742209932854,0.0021866836035494843
True,paper_335_350,MultiHI-Tabular,HistGB,0.004466996211941386,0.0005420176086374028,0.0025352561166875343,0.00042638763263861014,0.9929343403419896,0.0017153644400253049
True,paper_335_350,MultiHI-Tabular,KNN,0.011131846120032545,0.0023913221582120047,0.007873230461083323,0.000877938491423809,0.9549314432129791,0.020913050108020078
True,paper_335_350,MultiHI-Tabular,LightGBM,0.004925072441786298,0.0008586474852854916,0.0029974225744438085,0.0005960777848772606,0.9912425640113952,0.0034826271554502263
True,paper_335_350,MultiHI-Tabular,RandomForest,0.0024463535192317106,0.0008580458161468211,0.001545467245705917,0.00044700240097043383,0.9976809853089733,0.001633465848147983
