experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,Ridge,False,13,0.012850966649708428,0.004064588770857726,0.9414975783224375
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,Ridge,False,13,0.008001619313734295,0.007289321527238268,0.9764391249539339
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,ExtraTrees,False,13,0.004053457755315119,0.0023689942502058145,0.994515711293745
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,ExtraTrees,False,13,0.0018025023365894825,0.0012630924115625006,0.9988660915674354
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,ExtraTrees,False,13,0.0013926818682643005,0.001020026885072693,0.9993299909850537
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,ExtraTrees,False,13,0.001902688097201987,0.0012929735186084645,0.9987175588246389
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,ExtraTrees,False,13,0.0038531655628276018,0.002551568228051087,0.9945364995216629
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,RandomForest,False,13,0.00398151628319858,0.0022654461966524256,0.9947086559721826
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,RandomForest,False,13,0.0016811810582420014,0.0011472550129884383,0.9990135949461942
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell53,RandomForest,False,13,0.0015937182251926473,0.001154273199256208,0.9991225954514098
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell54,RandomForest,False,13,0.001896365743466624,0.001274947004802742,0.9987260673929551
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell55,RandomForest,False,13,0.0035774215783922433,0.002140853370338259,0.9952904881979467
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell51,HistGB,False,13,0.005023989046397492,0.003272924423174097,0.991575068580353
StructuredWindowAblation,only_very_narrow_window,Only very-narrow-window features are available.,Cell52,HistGB,False,13,0.004689216342103767,0.002458437909367984,0.9923259106397169
