window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
medium_32_35,CatBoost,0.007265136449277695,0.005695534983625331,4,202.30078125,0.008037374910652742,18,Cell52,Dataset 3
full_27_36,CatBoost,0.007436312686433414,0.0056380693580897305,4,202.384765625,0.008226807535490406,18,Cell52,Dataset 3
narrow_33_345,Ridge,0.008203195305557468,0.007325212862803361,4,2.1572265625,0.008391818589456899,18,Cell52,Dataset 3
medium_32_35,SVR-RBF,0.008458466358615302,0.005146606659880981,4,14.5263671875,0.008922419952301357,18,Cell52,Dataset 3
narrow_33_345,SVR-RBF,0.008805240092422914,0.005228248915581082,4,14.994140625,0.009293441776644006,18,Cell52,Dataset 3
medium_32_35,Ridge,0.00975347989551411,0.009025110883497252,4,2.1435546875,0.009976903683786125,18,Cell52,Dataset 3
medium_32_35,KNN,0.009815979253390832,0.007362095860453709,4,25.9345703125,0.010462540256478548,18,Cell52,Dataset 3
paper_335_350,SVR-RBF,0.011157386641624271,0.005837741599599203,4,15.66015625,0.011785105680483498,18,Cell52,Dataset 3
narrow_33_345,KNN,0.011226008944061932,0.008503942620229207,4,25.9482421875,0.011965560018420028,18,Cell52,Dataset 3
very_narrow_335_340,SVR-RBF,0.011400883054721544,0.006936127826924715,4,17.4375,0.012065414678553906,18,Cell52,Dataset 3
full_27_36,ElasticNet,0.013745507629034233,0.012456760369167682,4,2.19873046875,0.014065160509295235,18,Cell52,Dataset 3
paper_335_350,KNN,0.013283759102425786,0.009008979233713433,4,25.9482421875,0.014158871385398767,18,Cell52,Dataset 3
very_narrow_335_340,KNN,0.014608642253502765,0.010406840176918964,4,26.0302734375,0.015571923699431809,18,Cell52,Dataset 3
full_27_36,SVR-RBF,0.016972556117830953,0.008224316596088297,4,16.890625,0.017951627125853947,18,Cell52,Dataset 3
full_27_36,Ridge,0.018218613806294293,0.015962079634774435,4,2.1162109375,0.018632765828700267,18,Cell52,Dataset 3
